Jew Jewess
Mr. Mrs.
Negro Negress
abbot abbess
actor actress
administrator administratrix
adulterer adulteress
author authoress
bachelor spinster
baron baroness
benefactor benefactress
boy girl
brave squaw
bridegroom bride
brother sister
canon canoness
conductor conductress
count countess
czar czarina
dad mum
daddy mummy
dauphin dauphiness
deacon deaconess
duke duchess
duke duchess
elector electress
emperor empress
enchanter enchantress
father mother
father-in-law mother-in-law
fiance fiancee
founder foundress
gentleman lady
giant giantess
god goddess
governor governess
governor matron
grandfather grandmother
grandson granddaughter
headmaster headmistress
heir heiress
hero heroine
host hostess
hunter huntress
husband wife
instructor instructress
inventor inventress
king queen
lad lass
landlord landlady
lion lioness
lord lady
male female
man woman
manager manageress
manservant maidservant
marquis marchioness
masseur masseuse
master mistress
mayor mayoress
milkman milkmaid
millionaire millionairess
monitor monitress
monk nun
murderer murderess
negro negress
nephew niece
papa mama
patron patroness
peer peeress
poet poetess
policeman policewoman
postman postwoman
postmaster postmistress
preceptor preceptress
priest priestess
priest prietess
prince princess
prior prioress
prophet prophetess
proprietor proprietress
prosecutor prosecutrix
protector protectress
seamster sempstress
shepherd shepherdess
sir madam
son daughter
son-in-law daughter-in-law
songster songstress3
sorcerer sorceress
step-father step-mother
step-son step-daughter
steward stewardess
sultan sultana
tailor tailoress
testator testatrix
tiger tigress
traitor traitress
uncle aunt
usher usherette
viscount viscountess
waiter waitress
washerman washerwoman
widower widow
wizard witch
